waktu;Beras_Kualitas_Bawah_I
01/2017;9750
02/2017;9750
03/2017;9600
04/2017;9550
05/2017;9550
06/2017;9550
07/2017;9550
08/2017;9550
09/2017;9700
10/2017;9750
11/2017;9800
12/2017;10150
01/2018;11050
02/2018;11450
03/2018;10550
04/2018;10500
05/2018;10500
06/2018;10500
07/2018;10500
08/2018;10050
09/2018;10000
10/2018;10000
11/2018;10000
12/2018;10000
01/2019;10000
02/2019;10000
03/2019;10000
04/2019;10000
05/2019;10000
06/2019;10000
07/2019;10000
08/2019;10000
09/2019;10000
10/2019;10000
11/2019;10000
