waktu;Beras_Kualitas_Bawah_II
01/2017;9250
02/2017;9250
03/2017;9050
04/2017;9000
05/2017;9000
06/2017;9000
07/2017;9000
08/2017;9000
09/2017;9250
10/2017;9350
11/2017;9400
12/2017;9700
01/2018;10550
02/2018;10950
03/2018;10050
04/2018;10000
05/2018;10000
06/2018;10000
07/2018;10000
08/2018;9550
09/2018;9500
10/2018;9500
11/2018;9500
12/2018;9500
01/2019;9500
02/2019;9500
03/2019;9500
04/2019;9500
05/2019;9500
06/2019;9500
07/2019;9500
08/2019;9500
09/2019;9500
10/2019;9500
11/2019;9500
