waktu;Beras_Kualitas_Super_I
01/2017;12000
02/2017;12000
03/2017;11900
04/2017;11900
05/2017;11900
06/2017;11900
07/2017;11900
08/2017;11900
09/2017;12000
10/2017;12000
11/2017;12000
12/2017;12200
01/2018;13350
02/2018;14150
03/2018;14400
04/2018;14400
05/2018;14400
06/2018;14400
07/2018;14400
08/2018;13950
09/2018;13900
10/2018;13750
11/2018;13500
12/2018;13500
01/2019;13500
02/2019;13500
03/2019;13500
04/2019;13500
05/2019;13500
06/2019;13500
07/2019;13500
08/2019;13500
09/2019;13500
10/2019;13500
11/2019;13500
