waktu;Cabai_Merah_Besar
01/2017;40400
02/2017;38000
03/2017;23500
04/2017;23550
05/2017;29900
06/2017;22050
07/2017;17300
08/2017;16950
09/2017;17100
10/2017;19600
11/2017;29400
12/2017;33350
01/2018;40650
02/2018;44750
03/2018;42900
04/2018;48950
05/2018;35650
06/2018;31600
07/2018;28950
08/2018;30800
09/2018;22550
10/2018;34600
11/2018;29300
12/2018;34500
01/2019;32950
02/2019;24900
03/2019;21050
04/2019;28900
05/2019;33900
06/2019;44950
07/2019;54900
08/2019;57600
09/2019;34850
10/2019;33350
11/2019;32500
