waktu;Cabai_Merah_Keriting
01/2017;42450
02/2017;34300
03/2017;22550
04/2017;17950
05/2017;23550
06/2017;16450
07/2017;14750
08/2017;14250
09/2017;16450
10/2017;22600
11/2017;27500
12/2017;30350
01/2018;38200
02/2018;38900
03/2018;39750
04/2018;30100
05/2018;24300
06/2018;24200
07/2018;24700
08/2018;22450
09/2018;18750
10/2018;29150
11/2018;23400
12/2018;24300
01/2019;20400
02/2019;16150
03/2019;15500
04/2019;16400
05/2019;24850
06/2019;40350
07/2019;57000
08/2019;61000
09/2019;41550
10/2019;28450
11/2019;19500
