waktu;Cabai_Rawit_Hijau
01/2017;54750
02/2017;60750
03/2017;39300
04/2017;30200
05/2017;25200
06/2017;18350
07/2017;15900
08/2017;12500
09/2017;12200
10/2017;14100
11/2017;14450
12/2017;19250
01/2018;34900
02/2018;32700
03/2018;24200
04/2018;23100
05/2018;20150
06/2018;22550
07/2018;27700
08/2018;23350
09/2018;23150
10/2018;26000
11/2018;20250
12/2018;22950
01/2019;17050
02/2019;18450
03/2019;18600
04/2019;16250
05/2019;19550
06/2019;26800
07/2019;58700
08/2019;50100
09/2019;34250
10/2019;28750
11/2019;23200
