waktu;Cabai_Rawit_Merah
01/2017;91050
02/2017;112000
03/2017;83750
04/2017;46600
05/2017;48450
06/2017;28300
07/2017;27850
08/2017;16050
09/2017;9950
10/2017;11800
11/2017;18500
12/2017;26450
01/2018;41800
02/2018;44550
03/2018;48200
04/2018;29500
05/2018;22000
06/2018;28500
07/2018;42350
08/2018;24050
09/2018;16500
10/2018;26350
11/2018;23700
12/2018;32650
01/2019;27300
02/2019;19950
03/2019;21350
04/2019;19700
05/2019;21800
06/2019;24000
07/2019;60450
08/2019;70000
09/2019;51900
10/2019;35850
11/2019;33000
