waktu;Daging_Sapi_Kualitas_I
01/2017;117500
02/2017;117500
03/2017;117500
04/2017;117500
05/2017;117500
06/2017;117500
07/2017;115000
08/2017;115000
09/2017;115000
10/2017;115000
11/2017;115000
12/2017;115000
01/2018;115000
02/2018;115000
03/2018;115000
04/2018;115000
05/2018;115000
06/2018;115150
07/2018;115000
08/2018;115000
09/2018;115000
10/2018;115000
11/2018;115000
12/2018;115000
01/2019;115000
02/2019;115000
03/2019;115000
04/2019;115000
05/2019;115000
06/2019;116250
07/2019;117550
08/2019;119850
09/2019;120000
10/2019;120000
11/2019;120000
