waktu;Daging_Sapi_Kualitas_II
01/2017;110000
02/2017;110000
03/2017;110000
04/2017;110000
05/2017;110000
06/2017;110000
07/2017;110000
08/2017;110000
09/2017;110000
10/2017;110000
11/2017;110000
12/2017;110000
01/2018;110000
02/2018;110000
03/2018;110000
04/2018;110000
05/2018;110000
06/2018;110150
07/2018;110000
08/2018;110000
09/2018;110000
10/2018;110000
11/2018;110000
12/2018;110000
01/2019;110000
02/2019;110000
03/2019;110000
04/2019;110000
05/2019;110000
06/2019;111250
07/2019;112850
08/2019;115000
09/2019;115000
10/2019;115000
11/2019;115000
