waktu;Gula_Pasir_Kualitas_Premium
01/2017;15400
02/2017;15800
03/2017;15750
04/2017;15250
05/2017;15250
06/2017;15250
07/2017;15250
08/2017;15100
09/2017;14500
10/2017;14500
11/2017;14450
12/2017;13950
01/2018;13850
02/2018;13750
03/2018;13750
04/2018;13750
05/2018;13750
06/2018;13750
07/2018;13600
08/2018;13500
09/2018;13350
10/2018;13000
11/2018;13000
12/2018;13000
01/2019;13000
02/2019;13000
03/2019;13000
04/2019;13000
05/2019;13000
06/2019;13000
07/2019;13000
08/2019;12750
09/2019;12750
10/2019;12500
11/2019;12500
