waktu;Telur_Ayam_Ras_Segar
01/2017;18550
02/2017;17600
03/2017;17950
04/2017;18000
05/2017;20950
06/2017;19050
07/2017;21350
08/2017;19950
09/2017;19950
10/2017;19300
11/2017;20700
12/2017;24350
01/2018;21700
02/2018;21050
03/2018;20650
04/2018;22450
05/2018;23900
06/2018;22800
07/2018;25900
08/2018;21900
09/2018;20900
10/2018;20300
11/2018;22050
12/2018;25400
01/2019;24050
02/2019;22550
03/2019;22600
04/2019;23850
05/2019;23700
06/2019;22800
07/2019;23050
08/2019;22900
09/2019;21950
10/2019;20850
11/2019;20500
