waktu;Bawang_Merah_Ukuran_Sedang
Jan 2017 (1);28250
Jan 2017 (2);26300
Jan 2017 (3);26600
Jan 2017 (4);24800
Jan 2017 (5);26000
Feb 2017 (6);28800
Feb 2017 (7);36800
Feb 2017 (8);37200
Feb 2017 (9);37300
Mar 2017 (10);38400
Mar 2017 (11);34100
Mar 2017 (12);26000
Mar 2017 (13);25400
Apr 2017 (14);24300
Apr 2017 (15);25500
Apr 2017 (16);25100
Apr 2017 (17);25900
Mei 2017 (18);26650
Mei 2017 (19);26400
Mei 2017 (20);25000
Mei 2017 (21);25400
Mei 2017 (22);26900
Jun 2017 (23);27200
Jun 2017 (24);27600
Jun 2017 (25);32900
Jun 2017 (26);32200
Jul 2017 (27);31500
Jul 2017 (28);28800
Jul 2017 (29);32500
Jul 2017 (30);29200
Jul 2017 (31);27500
Agu 2017 (32);24100
Agu 2017 (33);23500
Agu 2017 (34);21500
Agu 2017 (35);20000
Sep 2017 (36);20000
Sep 2017 (37);20000
Sep 2017 (38);18750
Sep 2017 (39);18200
Okt 2017 (40);17400
Okt 2017 (41);15800
Okt 2017 (42);16500
Okt 2017 (43);18700
Okt 2017 (44);19000
Nov 2017 (45);22100
Nov 2017 (46);24700
Nov 2017 (47);23500
Nov 2017 (48);23900
Des 2017 (49);20200
Des 2017 (50);18800
Des 2017 (51);19000
Des 2017 (52);17850
Jan 2018 (1);17500
Jan 2018 (2);17100
Jan 2018 (3);16300
Jan 2018 (4);15600
Jan 2018 (5);15200
Feb 2018 (6);18600
Feb 2018 (7);20150
Feb 2018 (8);20500
Feb 2018 (9);20500
Mar 2018 (10);20500
Mar 2018 (11);24100
Mar 2018 (12);24700
Mar 2018 (13);24400
Apr 2018 (14);29400
Apr 2018 (15);31900
Apr 2018 (16);29400
Apr 2018 (17);30200
Apr 2018 (18);29150
Mei 2018 (19);30150
Mei 2018 (20);29000
Mei 2018 (21);30000
Mei 2018 (22);31000
Jun 2018 (23);30300
Jun 2018 (24);31000
Jun 2018 (25);30000
Jun 2018 (26);25750
Jul 2018 (27);24500
Jul 2018 (28);25000
Jul 2018 (29);21100
Jul 2018 (30);22500
Jul 2018 (31);23500
Agu 2018 (32);20000
Agu 2018 (33);21150
Agu 2018 (34);18500
Agu 2018 (35);18000
Sep 2018 (36);18000
Sep 2018 (37);16500
Sep 2018 (38);16400
Sep 2018 (39);15000
Okt 2018 (40);14000
Okt 2018 (41);14300
Okt 2018 (42);16300
Okt 2018 (43);17500
Okt 2018 (44);17500
Nov 2018 (45);18500
Nov 2018 (46);21500
Nov 2018 (47);23500
Nov 2018 (48);23800
Des 2018 (49);23000
Des 2018 (50);23000
Des 2018 (51);25200
Des 2018 (52);27000
Des 2018 (53);27850
Jan 2019 (1);28000
Jan 2019 (2);28000
Jan 2019 (3);24600
Jan 2019 (4);20200
Feb 2019 (5);18500
Feb 2019 (6);17900
Feb 2019 (7);19600
Feb 2019 (8);22400
Mar 2019 (9);27150
Mar 2019 (10);31000
Mar 2019 (11);32500
Mar 2019 (12);37000
Apr 2019 (13);39000
Apr 2019 (14);39000
Apr 2019 (15);37500
Apr 2019 (16);36000
Apr 2019 (17);33150
Mei 2019 (18);28000
Mei 2019 (19);24650
Mei 2019 (20);21600
Mei 2019 (21);27400
Jun 2019 (22);32500
Jun 2019 (23);30500
Jun 2019 (24);28000
Jun 2019 (25);28000
Jul 2019 (26);27600
Jul 2019 (27);26900
Jul 2019 (28);25600
Jul 2019 (29);25000
Jul 2019 (30);24800
Agu 2019 (31);21300
Agu 2019 (32);20500
Agu 2019 (33);20800
Agu 2019 (34);17600
Sep 2019 (35);16600
Sep 2019 (36);14800
Sep 2019 (37);14400
Sep 2019 (38);14000
Sep 2019 (39);14000
Okt 2019 (40);19100
Okt 2019 (41);22000
Okt 2019 (42);22000
Okt 2019 (43);21000
Nov 2019 (44);24500
