waktu;Bawang_Putih_Ukuran_Sedang
Sep 2017 (I);26100
Sep 2017 (II);25500
Sep 2017 (III);24000
Sep 2017 (IV);22600
Okt 2017 (I);22200
Okt 2017 (II);21100
Okt 2017 (III);21400
Okt 2017 (IV);21800
Okt 2017 (V);21200
Nov 2017 (I);22800
Nov 2017 (II);24000
Nov 2017 (III);23800
Nov 2017 (IV);22400
Des 2017 (I);22200
Des 2017 (II);21800
Des 2017 (III);21000
Des 2017 (IV);22000
Jan 2018 (I);20500
Jan 2018 (II);21500
Jan 2018 (III);22100
Jan 2018 (IV);22500
Jan 2018 (V);22500
Feb 2018 (I);31000
Feb 2018 (II);36650
Feb 2018 (III);40000
Feb 2018 (IV);39200
Mar 2018 (I);38600
Mar 2018 (II);46800
Mar 2018 (III);54800
Mar 2018 (IV);49650
Apr 2018 (I);39700
Apr 2018 (II);35600
Apr 2018 (III);33500
Apr 2018 (IV);29500
Apr 2018 (V);25000
Mei 2018 (I);23650
Mei 2018 (II);24500
Mei 2018 (III);23900
Mei 2018 (IV);24150
Jun 2018 (I);23600
Jun 2018 (II);24500
Jun 2018 (III);25700
Jun 2018 (IV);25500
Jul 2018 (I);25000
Jul 2018 (II);26000
Jul 2018 (III);21400
Jul 2018 (IV);20000
Jul 2018 (V);20000
Agu 2018 (I);21600
Agu 2018 (II);24000
Agu 2018 (III);24000
Agu 2018 (IV);24700
Sep 2018 (I);25500
Sep 2018 (II);25500
Sep 2018 (III);25000
Sep 2018 (IV);24600
Okt 2018 (I);23900
Okt 2018 (II);24500
Okt 2018 (III);24500
Okt 2018 (IV);24500
Okt 2018 (V);24500
Nov 2018 (I);22800
Nov 2018 (II);21700
Nov 2018 (III);20750
Nov 2018 (IV);21200
Des 2018 (I);21100
Des 2018 (II);21500
Des 2018 (III);24800
Des 2018 (IV);25400
Des 2018 (V);24000
Jan 2019 (I);24800
Jan 2019 (II);25600
Jan 2019 (III);26900
Jan 2019 (IV);26800
Feb 2019 (I);28000
Feb 2019 (II);33500
Feb 2019 (III);34000
Feb 2019 (IV);34500
Mar 2019 (I);36000
Mar 2019 (II);42700
Mar 2019 (III);43500
Mar 2019 (IV);45200
Apr 2019 (I);49500
Apr 2019 (II);50000
Apr 2019 (III);50000
Apr 2019 (IV);53500
Apr 2019 (V);57400
Mei 2019 (I);56000
Mei 2019 (II);39400
Mei 2019 (III);31300
Mei 2019 (IV);33750
Jun 2019 (I);35000
Jun 2019 (II);37900
Jun 2019 (III);34600
Jun 2019 (IV);33650
Jul 2019 (I);33600
Jul 2019 (II);34000
Jul 2019 (III);33500
Jul 2019 (IV);32300
Jul 2019 (V);31100
Agu 2019 (I);30200
Agu 2019 (II);31000
Agu 2019 (III);31000
Agu 2019 (IV);29400
Sep 2019 (I);30000
Sep 2019 (II);29600
Sep 2019 (III);30000
Sep 2019 (IV);30000
