waktu;Beras_Kualitas_Bawah_II
Jan 2018 (I);9750
Jan 2018 (II);10500
Jan 2018 (III);10500
Jan 2018 (IV);10900
Jan 2018 (V);11000
Feb 2018 (I);11000
Feb 2018 (II);11000
Feb 2018 (III);11000
Feb 2018 (IV);10600
Mar 2018 (I);10050
Mar 2018 (II);10000
Mar 2018 (III);10000
Mar 2018 (IV);10000
Apr 2018 (I);10000
Apr 2018 (II);10000
Apr 2018 (III);10000
Apr 2018 (IV);10000
Apr 2018 (V);10000
Mei 2018 (I);10000
Mei 2018 (II);10000
Mei 2018 (III);10000
Mei 2018 (IV);10000
Jun 2018 (I);10000
Jun 2018 (II);10000
Jun 2018 (III);10000
Jun 2018 (IV);10000
Jul 2018 (I);10000
Jul 2018 (II);10000
Jul 2018 (III);10000
Jul 2018 (IV);10000
Jul 2018 (V);10000
Agu 2018 (I);9500
Agu 2018 (II);9500
Agu 2018 (III);9500
Agu 2018 (IV);9500
Sep 2018 (I);9500
Sep 2018 (II);9500
Sep 2018 (III);9500
Sep 2018 (IV);9500
Okt 2018 (I);9500
Okt 2018 (II);9500
Okt 2018 (III);9500
Okt 2018 (IV);9500
Okt 2018 (V);9500
Nov 2018 (I);9500
Nov 2018 (II);9500
Nov 2018 (III);9500
Nov 2018 (IV);9500
Des 2018 (I);9500
Des 2018 (II);9500
Des 2018 (III);9500
Des 2018 (IV);9500
Des 2018 (V);9500
Jan 2019 (I);9500
Jan 2019 (II);9500
Jan 2019 (III);9500
Jan 2019 (IV);9500
Feb 2019 (I);9500
Feb 2019 (II);9500
Feb 2019 (III);9500
Feb 2019 (IV);9500
Mar 2019 (I);9500
Mar 2019 (II);9500
Mar 2019 (III);9500
Mar 2019 (IV);9500
Apr 2019 (I);9500
Apr 2019 (II);9500
Apr 2019 (III);9500
Apr 2019 (IV);9500
Apr 2019 (V);9500
Mei 2019 (I);9500
Mei 2019 (II);9500
Mei 2019 (III);9500
Mei 2019 (IV);9500
Jun 2019 (I);9500
Jun 2019 (II);9500
Jun 2019 (III);9500
Jun 2019 (IV);9500
Jul 2019 (I);9500
Jul 2019 (II);9500
Jul 2019 (III);9500
Jul 2019 (IV);9500
Jul 2019 (V);9500
Agu 2019 (I);9500
Agu 2019 (II);9500
Agu 2019 (III);9500
Agu 2019 (IV);9500
Sep 2019 (I);9500
Sep 2019 (II);9500
Sep 2019 (III);9500
Sep 2019 (IV);9500
