waktu;Beras_Kualitas_Super_I
Jan 2018 (I);12250
Jan 2018 (II);13400
Jan 2018 (III);13400
Jan 2018 (IV);13400
Jan 2018 (V);14050
Feb 2018 (I);14050
Feb 2018 (II);14150
Feb 2018 (III);14150
Feb 2018 (IV);14350
Mar 2018 (I);14400
Mar 2018 (II);14400
Mar 2018 (III);14400
Mar 2018 (IV);14400
Apr 2018 (I);14400
Apr 2018 (II);14400
Apr 2018 (III);14400
Apr 2018 (IV);14400
Apr 2018 (V);14400
Mei 2018 (I);14400
Mei 2018 (II);14400
Mei 2018 (III);14400
Mei 2018 (IV);14400
Jun 2018 (I);14400
Jun 2018 (II);14400
Jun 2018 (III);14400
Jun 2018 (IV);14400
Jul 2018 (I);14400
Jul 2018 (II);14400
Jul 2018 (III);14400
Jul 2018 (IV);14400
Jul 2018 (V);14400
Agu 2018 (I);13900
Agu 2018 (II);13900
Agu 2018 (III);13900
Agu 2018 (IV);13900
Sep 2018 (I);13900
Sep 2018 (II);13900
Sep 2018 (III);13900
Sep 2018 (IV);13900
Okt 2018 (I);13900
Okt 2018 (II);13900
Okt 2018 (III);13650
Okt 2018 (IV);13600
Okt 2018 (V);13500
Nov 2018 (I);13500
Nov 2018 (II);13500
Nov 2018 (III);13500
Nov 2018 (IV);13500
Des 2018 (I);13500
Des 2018 (II);13500
Des 2018 (III);13500
Des 2018 (IV);13500
Des 2018 (V);13500
Jan 2019 (I);13500
Jan 2019 (II);13500
Jan 2019 (III);13500
Jan 2019 (IV);13500
Feb 2019 (I);13500
Feb 2019 (II);13500
Feb 2019 (III);13500
Feb 2019 (IV);13500
Mar 2019 (I);13500
Mar 2019 (II);13500
Mar 2019 (III);13500
Mar 2019 (IV);13500
Apr 2019 (I);13500
Apr 2019 (II);13500
Apr 2019 (III);13500
Apr 2019 (IV);13500
Apr 2019 (V);13500
Mei 2019 (I);13500
Mei 2019 (II);13500
Mei 2019 (III);13500
Mei 2019 (IV);13500
Jun 2019 (I);13500
Jun 2019 (II);13500
Jun 2019 (III);13500
Jun 2019 (IV);13500
Jul 2019 (I);13500
Jul 2019 (II);13500
Jul 2019 (III);13500
Jul 2019 (IV);13500
Jul 2019 (V);13500
Agu 2019 (I);13500
Agu 2019 (II);13500
Agu 2019 (III);13500
Agu 2019 (IV);13500
Sep 2019 (I);13500
Sep 2019 (II);13500
Sep 2019 (III);13500
Sep 2019 (IV);13500
Sep 2019 (V);13500
Okt 2019 (I);13500
Okt 2019 (II);13500
Okt 2019 (III);13500
Okt 2019 (IV);13500
Nov 2019 (I);13500
