waktu;Cabai_Merah_Besar
Jan 2017 (I);39400
Jan 2017 (II);40700
Jan 2017 (III);38500
Jan 2017 (IV);40500
Jan 2017 (V);46000
Feb 2017 (I);45000
Feb 2017 (II);38000
Feb 2017 (III);30500
Feb 2017 (IV);26200
Mar 2017 (I);26200
Mar 2017 (II);22500
Mar 2017 (III);22000
Mar 2017 (IV);21750
Apr 2017 (I);20200
Apr 2017 (II);21500
Apr 2017 (III);23300
Apr 2017 (IV);30000
Mei 2017 (I);30900
Mei 2017 (II);34400
Mei 2017 (III);32000
Mei 2017 (IV);25650
Mei 2017 (V);24150
Jun 2017 (I);20200
Jun 2017 (II);17300
Jun 2017 (III);30250
Jun 2017 (IV);24375
Jul 2017 (I);18500
Jul 2017 (II);16900
Jul 2017 (III);16600
Jul 2017 (IV);17300
Jul 2017 (V);16900
Agu 2017 (I);17000
Agu 2017 (II);17250
Agu 2017 (III);17800
Agu 2017 (IV);15500
Sep 2017 (I);16900
Sep 2017 (II);17000
Sep 2017 (III);17150
Sep 2017 (IV);17300
Okt 2017 (I);17700
Okt 2017 (II);20800
Okt 2017 (III);20200
Okt 2017 (IV);19450
Okt 2017 (V);21600
Nov 2017 (I);26800
Nov 2017 (II);30500
Nov 2017 (III);32500
Nov 2017 (IV);32500
Des 2017 (I);31900
Des 2017 (II);33300
Des 2017 (III);33300
Des 2017 (IV);35850
Jan 2018 (I);35850
Jan 2018 (II);37300
Jan 2018 (III);43500
Jan 2018 (IV);42000
Jan 2018 (V);44000
Feb 2018 (I);45000
Feb 2018 (II);46900
Feb 2018 (III);44500
Feb 2018 (IV);42000
Mar 2018 (I);38800
Mar 2018 (II);43000
Mar 2018 (III);44800
Mar 2018 (IV);46400
Apr 2018 (I);48000
Apr 2018 (II);50300
Apr 2018 (III);50800
Apr 2018 (IV);47500
Apr 2018 (V);42400
Mei 2018 (I);40900
Mei 2018 (II);35500
Mei 2018 (III);33000
Mei 2018 (IV);27350
Jun 2018 (I);23500
Jun 2018 (II);44150
Jun 2018 (III);39000
Jun 2018 (IV);23150
Jul 2018 (I);23500
Jul 2018 (II);34000
Jul 2018 (III);30100
Jul 2018 (IV);28700
Jul 2018 (V);29000
Agu 2018 (I);30000
Agu 2018 (II);29000
Agu 2018 (III);32500
Agu 2018 (IV);32100
Sep 2018 (I);25200
Sep 2018 (II);23150
Sep 2018 (III);20500
Sep 2018 (IV);21400
Okt 2018 (I);24200
Okt 2018 (II);33000
Okt 2018 (III);38500
Okt 2018 (IV);41000
Okt 2018 (V);37500
Nov 2018 (I);33000
Nov 2018 (II);29600
Nov 2018 (III);26250
Nov 2018 (IV);24500
Des 2018 (I);28500
Des 2018 (II);35400
Des 2018 (III);35500
Des 2018 (IV);38150
Des 2018 (V);38350
Jan 2019 (I);38700
Jan 2019 (II);33000
Jan 2019 (III);28300
Jan 2019 (IV);27500
Feb 2019 (I);25000
Feb 2019 (II);27500
Feb 2019 (III);24500
Feb 2019 (IV);21500
Mar 2019 (I);21500
Mar 2019 (II);20500
Mar 2019 (III);21500
Mar 2019 (IV);20600
Apr 2019 (I);22000
Apr 2019 (II);27100
Apr 2019 (III);32500
Apr 2019 (IV);32500
Apr 2019 (V);32750
Mei 2019 (I);33100
Mei 2019 (II);32500
Mei 2019 (III);32500
Mei 2019 (IV);38750
Jun 2019 (I);60000
Jun 2019 (II);38500
Jun 2019 (III);42400
Jun 2019 (IV);48750
Jul 2019 (I);57300
Jul 2019 (II);55000
Jul 2019 (III);55500
Jul 2019 (IV);54000
Jul 2019 (V);51800
Agu 2019 (I);59000
Agu 2019 (II);63500
Agu 2019 (III);60000
Agu 2019 (IV);50000
Sep 2019 (I);39500
Sep 2019 (II);35500
Sep 2019 (III);31900
Sep 2019 (IV);30000
