waktu;Cabai_Merah_Keriting
Jan 2017 (I);40900
Jan 2017 (II);42500
Jan 2017 (III);40500
Jan 2017 (IV);44500
Jan 2017 (V);44000
Feb 2017 (I);42300
Feb 2017 (II);28200
Feb 2017 (III);29600
Feb 2017 (IV);25700
Mar 2017 (I);27500
Mar 2017 (II);23000
Mar 2017 (III);20400
Mar 2017 (IV);17150
Apr 2017 (I);17100
Apr 2017 (II);18500
Apr 2017 (III);17100
Apr 2017 (IV);19500
Mei 2017 (I);23500
Mei 2017 (II);28650
Mei 2017 (III);26500
Mei 2017 (IV);20000
Mei 2017 (V);16250
Jun 2017 (I);15100
Jun 2017 (II);13100
Jun 2017 (III);22650
Jun 2017 (IV);17275
Jul 2017 (I);11900
Jul 2017 (II);13000
Jul 2017 (III);16900
Jul 2017 (IV);17000
Jul 2017 (V);14400
Agu 2017 (I);15200
Agu 2017 (II);15500
Agu 2017 (III);13800
Agu 2017 (IV);12650
Sep 2017 (I);14500
Sep 2017 (II);15700
Sep 2017 (III);19500
Sep 2017 (IV);16700
Okt 2017 (I);24900
Okt 2017 (II);22900
Okt 2017 (III);20300
Okt 2017 (IV);22400
Okt 2017 (V);22250
Nov 2017 (I);23900
Nov 2017 (II);29100
Nov 2017 (III);30800
Nov 2017 (IV);29900
Des 2017 (I);28800
Des 2017 (II);28500
Des 2017 (III);32500
Des 2017 (IV);32500
Jan 2018 (I);36000
Jan 2018 (II);38700
Jan 2018 (III);41000
Jan 2018 (IV);36300
Jan 2018 (V);37700
Feb 2018 (I);38500
Feb 2018 (II);40000
Feb 2018 (III);40000
Feb 2018 (IV);37300
Mar 2018 (I);39000
Mar 2018 (II);42500
Mar 2018 (III);42000
Mar 2018 (IV);35750
Apr 2018 (I);36500
Apr 2018 (II);34000
Apr 2018 (III);29000
Apr 2018 (IV);22500
Apr 2018 (V);25000
Mei 2018 (I);25000
Mei 2018 (II);25100
Mei 2018 (III);24800
Mei 2018 (IV);19650
Jun 2018 (I);23800
Jun 2018 (II);33350
Jun 2018 (III);24500
Jun 2018 (IV);17500
Jul 2018 (I);21500
Jul 2018 (II);28000
Jul 2018 (III);27500
Jul 2018 (IV);23900
Jul 2018 (V);20900
Agu 2018 (I);24700
Agu 2018 (II);22400
Agu 2018 (III);23150
Agu 2018 (IV);20000
Sep 2018 (I);16200
Sep 2018 (II);18750
Sep 2018 (III);18000
Sep 2018 (IV);22100
Okt 2018 (I);24700
Okt 2018 (II);26500
Okt 2018 (III);29300
Okt 2018 (IV);34000
Okt 2018 (V);30500
Nov 2018 (I);27000
Nov 2018 (II);23300
Nov 2018 (III);22500
Nov 2018 (IV);19000
Des 2018 (I);22800
Des 2018 (II);23200
Des 2018 (III);24200
Des 2018 (IV);26150
Des 2018 (V);27500
Jan 2019 (I);24100
Jan 2019 (II);19500
Jan 2019 (III);15500
Jan 2019 (IV);17900
Feb 2019 (I);16750
Feb 2019 (II);15200
Feb 2019 (III);16200
Feb 2019 (IV);15800
Mar 2019 (I);15500
Mar 2019 (II);15000
Mar 2019 (III);15300
Mar 2019 (IV);16100
Apr 2019 (I);16500
Apr 2019 (II);16500
Apr 2019 (III);16000
Apr 2019 (IV);16500
Apr 2019 (V);17000
Mei 2019 (I);26500
Mei 2019 (II);24400
Mei 2019 (III);22500
Mei 2019 (IV);29900
Jun 2019 (I);44750
Jun 2019 (II);32800
Jun 2019 (III);40700
Jun 2019 (IV);47150
Jul 2019 (I);53200
Jul 2019 (II);53500
Jul 2019 (III);62500
Jul 2019 (IV);58500
Jul 2019 (V);57500
Agu 2019 (I);67000
Agu 2019 (II);67000
Agu 2019 (III);57000
Agu 2019 (IV);54500
Sep 2019 (I);52000
Sep 2019 (II);42500
Sep 2019 (III);34400
Sep 2019 (IV);32500
Sep 2019 (V);30800
Okt 2019 (I);30700
Okt 2019 (II);30000
Okt 2019 (III);29000
Okt 2019 (IV);20400
Nov 2019 (I);19650
