waktu;Gula_Pasir_Lokal
Sep 2017 (I);11700
Sep 2017 (II);11500
Sep 2017 (III);11750
Sep 2017 (IV);11750
Okt 2017 (I);11850
Okt 2017 (II);12000
Okt 2017 (III);12000
Okt 2017 (IV);12000
Okt 2017 (V);11800
Nov 2017 (I);11750
Nov 2017 (II);11750
Nov 2017 (III);11950
Nov 2017 (IV);12000
Des 2017 (I);12000
Des 2017 (II);12000
Des 2017 (III);12000
Des 2017 (IV);12250
Jan 2018 (I);12000
Jan 2018 (II);12000
Jan 2018 (III);12000
Jan 2018 (IV);12000
Jan 2018 (V);12000
Feb 2018 (I);12000
Feb 2018 (II);12000
Feb 2018 (III);12000
Feb 2018 (IV);12000
Mar 2018 (I);12000
Mar 2018 (II);12000
Mar 2018 (III);12000
Mar 2018 (IV);12000
Apr 2018 (I);12050
Apr 2018 (II);12150
Apr 2018 (III);12250
Apr 2018 (IV);12250
Apr 2018 (V);12250
Mei 2018 (I);12250
Mei 2018 (II);12250
Mei 2018 (III);12250
Mei 2018 (IV);12250
Jun 2018 (I);12250
Jun 2018 (II);12250
Jun 2018 (III);12250
Jun 2018 (IV);11950
Jul 2018 (I);11750
Jul 2018 (II);11750
Jul 2018 (III);11750
Jul 2018 (IV);11750
Jul 2018 (V);11750
Agu 2018 (I);11750
Agu 2018 (II);11750
Agu 2018 (III);11750
Agu 2018 (IV);11750
Sep 2018 (I);11650
Sep 2018 (II);11500
Sep 2018 (III);11500
Sep 2018 (IV);11250
Okt 2018 (I);11100
Okt 2018 (II);11000
Okt 2018 (III);11000
Okt 2018 (IV);11000
Okt 2018 (V);11000
Nov 2018 (I);11000
Nov 2018 (II);11000
Nov 2018 (III);11000
Nov 2018 (IV);11000
Des 2018 (I);11000
Des 2018 (II);11000
Des 2018 (III);11000
Des 2018 (IV);11000
Des 2018 (V);11000
Jan 2019 (I);11000
Jan 2019 (II);11000
Jan 2019 (III);11000
Jan 2019 (IV);11000
Feb 2019 (I);11000
Feb 2019 (II);11000
Feb 2019 (III);11100
Feb 2019 (IV);11500
Mar 2019 (I);11500
Mar 2019 (II);11500
Mar 2019 (III);11600
Mar 2019 (IV);11750
Apr 2019 (I);11750
Apr 2019 (II);11950
Apr 2019 (III);12000
Apr 2019 (IV);12000
Apr 2019 (V);12650
Mei 2019 (I);13000
Mei 2019 (II);13000
Mei 2019 (III);13000
Mei 2019 (IV);13000
Jun 2019 (I);13000
Jun 2019 (II);13000
Jun 2019 (III);13000
Jun 2019 (IV);12950
Jul 2019 (I);12750
Jul 2019 (II);12750
Jul 2019 (III);12750
Jul 2019 (IV);12750
Jul 2019 (V);12750
Agu 2019 (I);12400
Agu 2019 (II);12250
Agu 2019 (III);12050
Agu 2019 (IV);12000
Sep 2019 (I);12000
Sep 2019 (II);12000
Sep 2019 (III);12000
Sep 2019 (IV);12000
Sep 2019 (V);12000
Okt 2019 (I);12150
Okt 2019 (II);12350
Okt 2019 (III);12250
Okt 2019 (IV);12250
Nov 2019 (I);12250
