Waktu;Beras_Kualitas_Bawah_I;Beras_Kualitas_Bawah_II;Beras_Kualitas_Medium_I;Beras_Kualitas_Medium_II ;Beras_Kualitas_Super_I;Beras_Kualitas_Super_II;Daging_Ayam_Ras_Segar;Daging_Sapi_Kualitas_I;Daging_Sapi_Kualitas_II;Telur_Ayam_Ras_Segar;Bawang_Merah_Ukuran_Sedang;Bawang_Putih_Ukuran_Sedang;Cabai_Merah_Besar;Cabai_Merah_Keriting;Cabai_Rawit_Hijau;Cabai_Rawit_Merah;Minyak_Goreng_Curah;Minyak_Goreng_Kemasan_Bermerk_1;Minyak_Goreng_Kemasan_Bermerk_2;Gula_Pasir_Kualitas_Premium;Gula_Pasir_Lokal
01/2017;9750;9250;10750;10250;12000;11700;31450;117500;110000;18550;26250;34400;40400;42450;54750;91050;11250;13000;13000;15400;13000
02/2017;9750;9250;10750;10250;12000;11700;29500;117500;110000;17600;33250;34900;38000;34300;60750;112000;12200;13000;13350;15800;13000
03/2017;9600;9050;10600;10100;11900;11600;29400;117500;110000;17950;32250;33950;23500;22550;39300;83750;11400;13150;13750;15750;12800
04/2017;9550;9000;10550;10050;11900;11600;30000;117500;110000;18000;25150;48350;23550;17950;30200;46600;10750;13250;13700;15250;12750
05/2017;9550;9000;10550;10050;11900;11600;31150;117500;110000;20950;25900;57600;29900;23550;25200;48450;10750;13250;13500;15250;12750
06/2017;9550;9000;10550;10050;11900;11600;32300;117500;110000;19050;28900;67450;22050;16450;18350;28300;10750;13300;13500;15250;12750
07/2017;9550;9000;10550;10050;11900;11600;32150;115000;110000;21350;30350;48100;17300;14750;15900;27850;10650;13500;13500;15250;12700
08/2017;9550;9000;10550;10050;11900;11600;32000;115000;110000;19950;23250;31700;16950;14250;12500;16050;10600;13500;13500;15100;12500
09/2017;9700;9250;10700;10200;12000;11700;30300;115000;110000;19950;19250;24600;17100;16450;12200;9950;11050;13650;13200;14500;11650
10/2017;9750;9350;10750;10250;12000;11750;30000;115000;110000;19300;17250;21550;19600;22600;14100;11800;10750;13200;13000;14500;11950
11/2017;9800;9400;10800;10300;12000;12000;30300;115000;110000;20700;22950;23000;29400;27500;14450;18500;10650;13000;13000;14450;11850
12/2017;10150;9700;11150;10650;12200;12200;32250;115000;110000;24350;19100;21700;33350;30350;19250;26450;10500;13000;13000;13950;12050
01/2018;11050;10550;12250;11750;13350;13050;34500;115000;110000;21700;16350;21900;40650;38200;34900;41800;10500;13000;12900;13850;12000
02/2018;11450;10950;12950;12450;14150;13850;32650;115000;110000;21050;19350;35100;44750;38900;32700;44550;10500;13000;13000;13750;12000
03/2018;10550;10050;12050;11550;14400;13550;32000;115000;110000;20650;23100;46450;42900;39750;24200;48200;10550;13000;13000;13750;12000
04/2018;10500;10000;12000;11500;14400;13300;32400;115000;110000;22450;30200;34150;48950;30100;23100;29500;10500;13000;13000;13750;12200
05/2018;10500;10000;12000;11500;14400;13300;33800;115000;110000;23900;29800;24150;35650;24300;20150;22000;10450;13000;13000;13750;12250
06/2018;10500;10000;12000;11350;14400;13300;38450;115150;110150;22800;29250;24800;31600;24200;22550;28500;10450;13000;13000;13750;12200
07/2018;10500;10000;12000;11000;14400;13300;38150;115000;110000;25900;23300;22800;28950;24700;27700;42350;9800;13000;13000;13600;11750
08/2018;10050;9550;11550;11000;13950;12850;35400;115000;110000;21900;19950;23000;30800;22450;23350;24050;9500;13000;13000;13500;11750
09/2018;10000;9500;11500;11000;13900;12800;32300;115000;110000;20900;16450;25150;22550;18750;23150;16500;9700;13000;13000;13350;11450
10/2018;10000;9500;11500;11000;13750;12650;32600;115000;110000;20300;15800;24350;34600;29150;26000;26350;9500;13000;13000;13000;11000
11/2018;10000;9500;11500;11000;13500;12500;32550;115000;110000;22050;21350;21950;29300;23400;20250;23700;9500;12900;13000;13000;11000
12/2018;10000;9500;11500;11000;13500;12500;35050;115000;110000;25400;24650;23200;34500;24300;22950;32650;9500;12500;13000;13000;11000
01/2019;10000;9500;11500;11000;13500;12500;34500;115000;110000;24050;25850;25750;32950;20400;17050;27300;9500;12500;13000;13000;11000
02/2019;10000;9500;11500;11000;13500;12500;32150;115000;110000;22550;19400;32300;24900;16150;18450;19950;9650;12500;13000;13000;11150
03/2019;10000;9500;11500;11000;13500;12500;31450;115000;110000;22600;31750;41800;21050;15500;18600;21350;9500;12500;13000;13000;11600
04/2019;10000;9500;11500;11000;13500;12500;32000;115000;110000;23850;37400;51200;28900;16400;16250;19700;9500;12500;13000;13000;12000
05/2019;10000;9500;11500;11000;13500;12500;33500;115000;110000;24600;27600;50900;32750;24100;19500;23550;9500;12500;13000;13000;12950
