Waktu;Beras;Beras_Kualitas_Bawah_I;Beras_Kualitas_Bawah_II;Beras_Kualitas_Medium_I;Beras_Kualitas_Medium_II ;Beras_Kualitas_Super_I ;Beras_Kualitas_Super_II ;Daging_Ayam;Daging_Ayam_Ras_Segar;Daging_Sapi;Daging_Sapi_Kualitas_1;Daging_Sapi_Kualitas_2 ;Telur_Ayam;"Telur_Ayam_Ras_Segar
 (kg)";Bawang_Merah;Bawang_Merah_Ukuran_Sedang;Bawang_Putih;Bawang_Putih_Ukuran_Sedang;Cabai_Merah;Cabai_Merah_Besar ;Cabai_Merah_Keriting  ;Cabai_Rawit;Cabai_Rawit_Hijau;Cabai_Rawit_Merah ;Minyak_Goreng;Minyak_Goreng_Curah ;Minyak_Goreng_Kemasan_Bermerk_1 ;Minyak_Goreng_Kemasan_Bermerk_2 ;Gula_Pasir;Gula_Pasir_Kualitas_Premium;Gula_Pasir_Lokal 
Des 2016 (IV);10600;9750;9250;10750;10250;12000;11700;32000;32000;113750;117500;110000;21700;21700;27650;27650;35250;35250;35000;37500;32500;62650;51900;73400;12500;11500;13000;13000;14250;15500;13000
Jan 2017 (I);10600;9750;9250;10750;10250;12000;11700;31650;31650;113750;117500;110000;19150;19150;28250;28250;35500;35500;40150;39400;40900;70000;52500;87500;12400;11250;13000;13000;14250;15500;13000
Jan 2017 (II);10600;9750;9250;10750;10250;12000;11700;31400;31400;113750;117500;110000;18900;18900;26300;26300;35100;35100;41600;40700;42500;66500;51000;82000;12400;11250;13000;13000;14150;15250;13000
Jan 2017 (III);10600;9750;9250;10750;10250;12000;11700;31200;31200;113750;117500;110000;18450;18450;26600;26600;33900;33900;39500;38500;40500;72250;51000;93500;12400;11250;13000;13000;14150;15250;13000
Jan 2017 (IV);10600;9750;9250;10750;10250;12000;11700;31700;31700;113750;117500;110000;18250;18250;24800;24800;33700;33700;42500;40500;44500;77750;59500;96000;12400;11250;13000;13000;14250;15500;13000
Jan 2017 (V);10600;9750;9250;10750;10250;12000;11700;30600;30600;113750;117500;110000;17750;17750;26000;26000;34300;34300;45000;46000;44000;86500;68000;105000;12400;11250;13000;13000;14250;15500;13000
Feb 2017 (I);10600;9750;9250;10750;10250;12000;11700;29700;29700;113750;117500;110000;17750;17750;28800;28800;35100;35100;43650;45000;42300;92250;70500;114000;12600;11700;13000;13050;14250;15500;13000
Feb 2017 (II);10600;9750;9250;10750;10250;12000;11700;29100;29100;113750;117500;110000;17500;17500;36800;36800;35400;35400;33100;38000;28200;83000;60500;105500;13150;13000;13000;13500;14500;16000;13000
Feb 2017 (III);10600;9750;9250;10750;10250;12000;11700;29300;29300;113750;117500;110000;17500;17500;37200;37200;34300;34300;30050;30500;29600;84750;52000;117500;13000;12550;13000;13500;14500;16000;13000
Feb 2017 (IV);10600;9750;9250;10750;10250;12000;11700;28800;28800;113750;117500;110000;17500;17500;37300;37300;34000;34000;25950;26200;25700;79500;44000;115000;12900;11900;13000;13750;14500;16000;13000
Mar 2017 (I);10450;9600;9050;10600;10100;11900;11600;29000;29000;113750;117500;110000;17500;17500;38400;38400;33100;33100;26850;26200;27500;79000;45000;113000;12750;11500;13000;13750;14400;16000;12750
Mar 2017 (II);10450;9550;9000;10550;10050;11900;11600;30000;30000;113750;117500;110000;18100;18100;34100;34100;33600;33600;22750;22500;23000;59250;37000;81500;12800;11450;13200;13750;14400;16000;12750
Mar 2017 (III);10450;9550;9000;10550;10050;11900;11600;29600;29600;113750;117500;110000;18500;18500;26000;26000;34500;34500;21200;22000;20400;47500;35500;59500;12750;11250;13250;13750;14100;15400;12750
Mar 2017 (IV);10450;9550;9000;10550;10050;11900;11600;29650;29650;113750;117500;110000;17950;17950;25400;25400;35000;35000;19450;21750;17150;47800;37500;58150;12700;11150;13250;13750;14000;15250;12750
Apr 2017 (I);10450;9550;9000;10550;10050;11900;11600;29500;29500;113750;117500;110000;17750;17750;24300;24300;41100;41100;18650;20200;17100;39250;31500;47000;12650;10900;13250;13750;14000;15250;12750
Apr 2017 (II);10450;9550;9000;10550;10050;11900;11600;30400;30400;113750;117500;110000;17650;17650;25500;25500;45000;45000;20000;21500;18500;37450;29000;45900;12650;11050;13250;13750;14000;15250;12750
Apr 2017 (III);10450;9550;9000;10550;10050;11900;11600;29900;29900;113750;117500;110000;17200;17200;25100;25100;49300;49300;20200;23300;17100;39350;30700;48000;12500;10600;13250;13700;14000;15250;12750
Apr 2017 (IV);10450;9550;9000;10550;10050;11900;11600;30400;30400;113750;117500;110000;19750;19750;25900;25900;59650;59650;24750;30000;19500;37150;29250;45000;12400;10500;13250;13500;14000;15250;12750
Mei 2017 (I);10450;9550;9000;10550;10050;11900;11600;30000;30000;113750;117500;110000;19900;19900;26650;26650;62400;62400;27200;30900;23500;39050;26900;51250;12400;10500;13250;13500;14000;15250;12750
Mei 2017 (II);10450;9550;9000;10550;10050;11900;11600;30500;30500;113750;117500;110000;20650;20650;26400;26400;59400;59400;31500;34400;28650;40650;26650;54650;12450;10550;13250;13500;14000;15250;12750
Mei 2017 (III);10450;9550;9000;10550;10050;11900;11600;31400;31400;113750;117500;110000;22000;22000;25000;25000;55800;55800;29250;32000;26500;35000;24500;45500;12500;10700;13250;13500;14000;15250;12750
Mei 2017 (IV);10450;9550;9000;10550;10050;11900;11600;32000;32000;113750;117500;110000;21150;21150;25400;25400;55000;55000;22800;25650;20000;35300;24400;46250;12600;11000;13250;13500;14000;15250;12750
Mei 2017 (V);10450;9550;9000;10550;10050;11900;11600;32000;32000;113750;117500;110000;20750;20750;26900;26900;55000;55000;20200;24150;16250;31400;22750;40000;12600;11000;13250;13500;14000;15250;12750
Jun 2017 (I);10450;9550;9000;10550;10050;11900;11600;32000;32000;113750;117500;110000;19600;19600;27200;27200;67500;67500;17650;20200;15100;22250;16500;28000;12600;11000;13250;13500;14000;15250;12750
Jun 2017 (II);10450;9550;9000;10550;10050;11900;11600;32000;32000;113750;117500;110000;18200;18200;27600;27600;69000;69000;15200;17300;13100;20950;15800;26100;12500;10700;13250;13500;14000;15250;12750
Jun 2017 (III);10450;9550;9000;10550;10050;11900;11600;33150;33150;113750;117500;110000;19000;19000;32900;32900;68750;68750;26450;30250;22650;27400;23150;31650;12500;10500;13500;13500;14000;15250;12750
Jun 2017 (IV);10450;9550;9000;10550;10050;11900;11600;34375;34375;113125;116250;110000;19400;19400;32200;32200;61625;61625;20825;24375;17275;23150;20075;26225;12525;10575;13500;13500;14000;15250;12750
Jul 2017 (I);10450;9550;9000;10550;10050;11900;11600;35600;35600;112500;115000;110000;19800;19800;31500;31500;54500;54500;15200;18500;11900;18900;17000;20800;12550;10650;13500;13500;14000;15250;12750
Jul 2017 (II);10450;9550;9000;10550;10050;11900;11600;31500;31500;112500;115000;110000;21500;21500;28800;28800;49000;49000;14950;16900;13000;21700;15400;28000;12550;10650;13500;13500;14000;15250;12750
Jul 2017 (III);10450;9550;9000;10550;10050;11900;11600;31200;31200;112500;115000;110000;21700;21700;32500;32500;46000;46000;16750;16600;16900;26200;16700;35700;12550;10650;13500;13500;14000;15250;12750
Jul 2017 (IV);10450;9550;9000;10550;10050;11900;11600;30500;30500;112500;115000;110000;22300;22300;29200;29200;45000;45000;17150;17300;17000;20950;14900;27000;12550;10650;13500;13500;13900;15250;12500
Jul 2017 (V);10450;9550;9000;10550;10050;11900;11600;31800;31800;112500;115000;110000;21200;21200;27500;27500;37100;37100;15650;16900;14400;18850;13500;24200;12550;10650;13500;13500;13900;15250;12500
Agu 2017 (I);10450;9550;9000;10550;10050;11900;11600;32500;32500;112500;115000;110000;20300;20300;24100;24100;33800;33800;16100;17000;15200;15850;12900;18800;12550;10650;13500;13500;13900;15250;12500
Agu 2017 (II);10450;9550;9000;10550;10050;11900;11600;32000;32000;112500;115000;110000;19500;19500;23500;23500;31150;31150;16400;17250;15500;14050;12900;15250;12500;10550;13500;13500;13900;15250;12500
Agu 2017 (III);10450;9550;9000;10550;10050;11900;11600;32000;32000;112500;115000;110000;19100;19100;21500;21500;29000;29000;15800;17800;13800;13000;12500;13500;12450;10400;13500;13500;13900;15250;12500
Agu 2017 (IV);10550;9650;9100;10650;10150;12000;11700;31250;31250;112500;115000;110000;20000;20000;20000;20000;27750;27750;14050;15500;12650;9900;10500;9250;12650;10900;13500;13500;13500;14500;12500
Sep 2017 (I);10600;9700;9150;10700;10200;12050;11750;30800;30800;112500;115000;110000;20500;20500;20000;20000;26100;26100;15700;16900;14500;11200;12600;9800;12550;10650;13750;13250;13100;14500;11700
Sep 2017 (II);10550;9650;9100;10650;10150;12000;11700;30100;30100;112500;115000;110000;20100;20100;20000;20000;25500;25500;16350;17000;15700;11700;12300;11100;12700;11050;13750;13250;13000;14500;11500
Sep 2017 (III);10650;9750;9350;10750;10250;12000;11700;30400;30400;112500;115000;110000;20250;20250;18750;18750;24000;24000;18300;17150;19500;10950;11750;10150;12800;11400;13750;13250;13150;14500;11750
Sep 2017 (IV);10650;9750;9350;10750;10250;12000;11700;30000;30000;112500;115000;110000;19050;19050;18200;18200;22600;22600;17000;17300;16700;10400;12000;8800;12500;11150;13300;13050;13150;14500;11750
Okt 2017 (I);10650;9750;9350;10750;10250;12000;11700;30000;30000;112500;115000;110000;19050;19050;17400;17400;22200;22200;21300;17700;24900;11300;12500;10100;12300;10800;13200;12950;13200;14500;11850
Okt 2017 (II);10650;9750;9350;10750;10250;12000;11700;30000;30000;112500;115000;110000;19400;19400;15800;15800;21100;21100;21850;20800;22900;11250;12500;10000;12350;10750;13250;13000;13250;14500;12000
Okt 2017 (III);10650;9750;9350;10750;10250;12000;11700;30000;30000;112500;115000;110000;19500;19500;16500;16500;21400;21400;20250;20200;20300;13000;14700;11300;12350;10750;13250;13000;13250;14500;12000
Okt 2017 (IV);10650;9750;9350;10750;10250;12000;11750;30000;30000;112500;115000;110000;19200;19200;18700;18700;21800;21800;20950;19450;22400;15700;16100;15300;12350;10750;13250;13000;13250;14500;12000
Okt 2017 (V);10700;9750;9350;10750;10250;12000;11950;30000;30000;112500;115000;110000;19500;19500;19000;19000;21200;21200;21950;21600;22250;14900;15700;14100;12200;10700;13000;13000;13150;14500;11800
Nov 2017 (I);10700;9750;9350;10750;10250;12000;12000;30000;30000;112500;115000;110000;19500;19500;22100;22100;22800;22800;25350;26800;23900;17200;15600;18800;12250;10750;13000;13000;13150;14500;11750
Nov 2017 (II);10700;9750;9350;10750;10250;12000;12000;30100;30100;112500;115000;110000;19500;19500;24700;24700;24000;24000;29800;30500;29100;18900;16600;21200;12200;10650;13000;13000;13150;14500;11750
Nov 2017 (III);10700;9750;9350;10750;10250;12000;12000;31000;31000;112500;115000;110000;21900;21900;23500;23500;23800;23800;31650;32500;30800;15550;13100;18000;12150;10500;13000;13000;13200;14450;11950
