waktu;garam
Jan 07;150
Feb 07;150
Mar 07;150
Apr 07;150
Mei 07;150
Jun 07;200
Jul 07;175
Agu 07;200
Sep 07;225
Okt 07;238
Nov 07;250
Des 07;250
Jan 08;250
Feb 08;250
Mar 08;275
Apr 08;300
Mei 08;325
Jun 08;350
Jul 08;300
Agu 08;300
Sep 08;300
Okt 08;300
Nov 08;300
Des 08;300
Jan 09;750
Feb 09;750
Mar 09;775
Apr 09;800
Mei 09;800
Jun 09;800
Jul 09;800
Agu 09;800
Sep 09;800
Okt 09;800
Nov 09;800
Des 09;900
Jan 10;1375
Feb 10;1375
Mar 10;1375
Apr 10;1375
Mei 10;1375
Jun 10;1375
Jul 10;1375
Agu 10;1375
Sep 10;1375
Okt 10;1375
Nov 10;1375
Des 10;1375
Jan 11;1250
Feb 11;1250
Mar 11;1250
Apr 11;1250
Mei 11;1250
Jun 11;1250
Jul 11;1250
Agu 11;1250
Sep 11;1250
Okt 11;1250
Nov 11;1250
Des 11;1250
Jan 12;3000
Feb 12;3000
Mar 12;3000
Apr 12;2800
Mei 12;2800
Jun 12;2800
Jul 12;2200
Agu 12;2200
Sep 12;2200
Okt 12;2200
Nov 12;2200
Des 12;2550
Jan 13;2200
Feb 13;2350
Mar 13;2500
Apr 13;2500
Mei 13;2500
Jun 13;2500
Jul 13;2000
Agu 13;2000
Sep 13;2125
Okt 13;2250
Nov 13;2000
Des 13;2000
Jan 14;1750
Feb 14;1750
Mar 14;1750
Apr 14;1750
Mei 14;1750
Jun 14;1750
Jul 14;2000
Agu 14;2000
Sep 14;2000
Okt 14;2000
Nov 14;2000
Des 14;1800
Jan 15;2000
Feb 15;2000
Mar 15;2000
Apr 15;2000
Mei 15;2500
Jun 15;2500
Jul 15;2500
Agu 15;2500
Sep 15;2500
Okt 15;2500
Nov 15;2500
Des 15;2500
Jan 16;2500
Feb 16;2500
Mar 16;2500
Apr 16;2500
Mei 16;2500
Jun 16;2417
Jul 16;2417
Agu 16;2500
Sep 16;2500
Okt 16;2500
Nov 16;2500
Des 16;2500
Jan 17;2500
Feb 17;2500
Mar 17;2500
Apr 17;2500
Mei 17;2500
Jun 17;2500
Jul 17;2500
Agu 17;2500
Sep 17;2500
Okt 17;2500
Nov 17;2500
Des 17;2500
