waktu;minyak_goreng
Jan 07;4960
Feb 07;5000
Mar 07;5000
Apr 07;4950
Mei 07;5000
Jun 07;4900
Jul 07;4950
Agu 07;5700
Sep 07;5675
Okt 07;5450
Nov 07;5850
Des 07;6350
Jan 08;6920
Feb 08;6650
Mar 08;6725
Apr 08;7650
Mei 08;8100
Jun 08;8800
Jul 08;8433
Agu 08;8433
Sep 08;9500
Okt 08;9500
Nov 08;9125
Des 08;8825
Jan 09;10440
Feb 09;10875
Mar 09;12250
Apr 09;11140
Mei 09;11225
Jun 09;11125
Jul 09;9000
Agu 09;8825
Sep 09;8150
Okt 09;6638
Nov 09;6750
Des 09;7500
Jan 10;7750
Feb 10;8250
Mar 10;8940
Apr 10;9325
Mei 10;10175
Jun 10;9440
Jul 10;8250
Agu 10;8300
Sep 10;8400
Okt 10;8000
Nov 10;7650
Des 10;8000
Jan 11;8400
Feb 11;8133
Mar 11;8567
Apr 11;8400
Mei 11;8333
Jun 11;8333
Jul 11;8167
Agu 11;9267
Sep 11;9100
Okt 11;9333
Nov 11;10000
Des 11;9667
Jan 12;11000
Feb 12;10925
Mar 12;9540
Apr 12;9100
Mei 12;9340
Jun 12;9075
Jul 12;9075
Agu 12;9420
Sep 12;9475
Okt 12;9700
Nov 12;9080
Des 12;9400
Jan 13;10440
Feb 13;10300
Mar 13;10825
Apr 13;11300
Mei 13;10620
Jun 13;9975
Jul 13;10340
Agu 13;10200
Sep 13;10100
Okt 13;9240
Nov 13;8800
Des 13;8550
Jan 14;9700
Feb 14;9367
Mar 14;9000
Apr 14;9000
Mei 14;8833
Jun 14;9167
Jul 14;9167
Agu 14;9167
Sep 14;9333
Okt 14;9500
Nov 14;9933
Des 14;10333
Jan 15;11550
Feb 15;11550
Mar 15;11950
Apr 15;10825
Mei 15;10750
Jun 15;11000
Jul 15;11200
Agu 15;10800
Sep 15;10225
Okt 15;11250
Nov 15;11250
Des 15;10625
Jan 16;10875
Feb 16;10875
Mar 16;10250
Apr 16;11804
Mei 16;11579
Jun 16;11000
Jul 16;11083
Agu 16;10778
Sep 16;10124
Okt 16;10625
Nov 16;10375
Des 16;9766
Jan 17;10500
Feb 17;10670
Mar 17;10500
Apr 17;10850
Mei 17;10835
Jun 17;11500
Jul 17;11500
Agu 17;11500
Sep 17;11500
Okt 17;11500
Nov 17;11500
Des 17;10835
